stage,group,team,matches,wins,losses,ties,nr,points,runs_scored,overs_faced,runs_scored_eff,overs_faced_eff,runs_against,overs_bowled,runs_conceded_eff,overs_bowled_eff,nrr
first_round,A,LKA,3,2,1,0,0,4,422,59.0,422,60.0,382,57.1,382,60.0,0.666666666666667
first_round,A,NED,3,2,1,0,0,4,380,59.2,380,59.2,394,60.0,394,60.0,-0.16217228464419442
first_round,A,"NAM",3,1,2,0,0,2,425,60.0,425,60.0,378,58.3,378,59.3,0.7303921568627452
first_round,A,UAE,3,1,2,0,0,2,332,57.1,332,60.0,405,59.5,405,59.5,-1.235468895078923
first_round,B,ZIM,3,2,1,0,0,4,429,56.5,429,58.3,428,60.0,428,60.0,0.1999999999999993
first_round,B,IRE,3,2,1,0,0,4,473,56.3,473,56.3,496,60.0,496,60.0,0.10501474926253529
first_round,B,SCO,3,1,2,0,0,2,468,60.0,468,60.0,431,56.0,431,57.3,0.3043478260869561
first_round,B,WIN,3,1,2,0,0,2,417,58.3,417,60.0,432,55.5,432,57.3,-0.5630434782608695
super_12,1,NZL,5,3,1,0,1,7,711,80.0,711,80.0,542,76.3,542,80.0,2.112499999999999
super_12,1,ENG,5,3,1,0,1,7,541,72.2,541,72.2,569,79.0,522,74.3,0.47255126341508724
super_12,1,AUS,5,3,1,0,1,7,616,73.4,616,76.3,658,78.1,658,80.0,-0.17271241830065343
super_12,1,LKA,5,2,3,0,0,4,681,92.5,681,93.3,741,96.1,741,96.1,-0.421950157091354
super_12,1,IRE,5,1,3,0,1,3,572,77.3,525,74.3,602,69.3,602,69.3,-1.6148906378253098
super_12,1,AFG,5,0,3,0,2,2,420,59.4,420,60.0,429,56.4,429,56.4,-0.5705882352941183
super_12,2,IND,4,3,1,0,0,6,656,80.0,622,76.0,564,75.4,564,75.4,0.7304660329237196
super_12,2,RSA,4,2,1,0,1,5,501,56.4,450,53.4,498,65.3,375,54.0,1.4406487232574197
super_12,2,PAK,4,2,2,0,0,4,568,73.5,524,67.5,489,74.0,489,74.0,1.1167076167076173
super_12,2,BAN,4,2,2,0,0,4,540,72.3,540,76.0,671,80.0,637,76.0,-1.276315789473684
super_12,2,ZIM,4,1,2,0,1,3,473,68.2,394,60.0,450,61.0,399,58.0,-0.31264367816091987
super_12,2,NED,4,1,3,0,0,2,469,78.0,469,78.0,535,73.1,535,73.5,-1.2332291485790359
